酒釀衝雞蛋,酒釀，紅糖（或白糖），雞蛋
核桃咖啡蛋糕,普通面粉100g，速溶咖啡1袋，核桃2个，鸡蛋1个，色拉油50g，泡打粉2g，奶粉1大勺，凉开水30g
炸咖喱鸡,鸡胸肉，咖喱粉，生抽一点点，白胡椒粉一点点，盐适量，糖一点点，炸粉，水，油
香煎孜然小鱼,小剥皮鱼，盐，鸡精，料酒，葱姜，孜然粉，孜然粒
抹茶乳酪蛋糕,底层派皮：10公克，消化饼干150公克，奶油30公克，牛奶15公克，蛋糕体：126公克，动物性鲜奶油31公克，奶油起司314公克，细砂糖63公克，全蛋35公克，玉米粉25公克，抹茶粉10公克
肉片豆腐汤,三碗水豆腐一盒猪肉80g家乐猪骨浓汤口味浓汤宝1块（辅料：姜末5g，香菜5g）
香辣金枪鱼pizza,自发粉200克 温水约100克 糖10克 盐2克 橄榄油10克意大利肉酱料4汤匙（60ml）马苏里拉奶酪100克 香辣金枪鱼1盒 长茄子1根 小青红椒各3根
雪菜百叶,主料：雪菜(雪里蕻)300克，百叶1束(约10片)，辣椒2个，碱粉1大匙。盐1/2小匙，鸡精1/2小匙，香油1大匙。
板栗花生汤,清水板栗1瓶，花生50克，火腿80克，西兰花50克，大白菜叶50克，胡萝卜2根。调料精盐适量，牛奶2大匙。
凉拌鸡珍,鸡珍，八角，花椒，姜片，盐，醋，生抽，葱丝，香菜，香油，蒜末
香辣黄花鱼,主料：黄花鱼，配料：盐，五香粉，辣椒粉，胡椒粉，料酒，生姜，白糖，李锦记烤肉酱
鳕鱼烧醋胶,原料：鳕鱼130克，蛋白20克，白芝麻1克，芝士饼干5克，水晶菜6克，牛奶10克调料：柱候酱5克海鲜酱5克花生酱3克美极酱油2克沙司2克糖、盐、生粉少许
橄榄雪梨煲瘦肉汤,天气干燥酷热，在太阳底下没站一会已是口干舌燥，即使是呆在空调房里也不会好多少，冷气像把全身的水分都蒸发掉了，这种日子最适合喝些生津止渴、清咽利喉的汤水了。俗语说青橄榄是治疗喉症的青龙汤（顺便说说，白虎汤是白萝卜），还能解暑开胃，特别适宜夏天食用，是以今日开煲推介这款橄榄雪梨煲瘦肉汤。3-4人份青橄榄：15粒雪梨：2个瘦肉：500克姜：2片水：8碗
酸奶腰果紫米糕,紫米一小碗，生腰果若干（没有生腰果也可以用超市买得到的袋装熟腰果，或者花生米等其他坚果仁代替），自制酸奶一碗（家里没有酸奶机的童鞋也可以用外面买的酸奶，尽量要原味的比较健康喔~），另外还有蜂蜜少许
麻糬司康,面糰：63公克，麻糬预拌粉250公克，干酪粉8公克，全蛋100公克，水75公克，炼乳20公克，盐3公克，泡打粉8公克，起司丝50公克，其他：适量，蛋液适量
串烤培根可颂,培根，可颂面团（做法参考食谱“可颂”），竹签
鸡蛋灌饼,【做了小小的6个，两人份】面团：面粉200g，开水100g，凉水50g油酥：面粉10g，玉米油10g，盐少许配料：鸡蛋2个打散，生菜，甜面酱，蒜蓉辣酱，咸菜丝
油炒糖栗子,主料：栗子（鲜）150克，调料：花生油55克，猪油20克，白砂糖5克，豌豆淀粉8克
花肉韭菜炒豆皮,五花肉120克，韭菜200克，豆皮一张，蒜头，生抽，油，盐
熘鱼段,净鲜鱼肉250克，元葱瓣，胡萝卜片各少许，鸡蛋1个。调料油1000克(约耗75克)，精盐、精各1／3小勺，绍酒1大匙，醋、白糖各1／2小勺，葱，姜末，蒜片各少许，淀粉适量。
香菇炖猪蹄,主料：猪蹄，香菇。配料：油菜心。调料：盐、味精、酱油、胡椒粉、葱、姜、大料、料酒。
青瓜木耳,木耳，青瓜，盐少许，肉末1匙，蒜蓉1半匙
玉带黑鱼卷,黑鱼1条（约600克）　　火腿50克　　鸡脯肉10克　　香菇10克　　玉兰片10克　　鸡蛋1个　　香葱2棵　　生姜1小块　　淀粉适量　　香油3克　　高汤大匙　　白胡椒粉3克　　精盐3小匙　　味精3克
黄豆焖鸡脚,鸡脚10只，黄豆1杯，生姜1块，白酒，生抽，糖适量
香肠菠萝炒饭,米饭，菠萝，香肠，胡萝卜，豌豆少许，鸡蛋，大葱，盐，鸡精
果香黑啤鸡翅,鸡翅，姜，蒜，辣椒，黑啤，苹果酒，老酒，蜂蜜，烤肉酱，十三香，老抽，味精
芥蓝炒腊肉,芥蓝300g，腊肉50g，盐少许，鸡粉少许，植物油
广式月饼,油皮材料：200公克，花生油60公克，转化糖浆130公克，硷油1小匙，盐1/2小匙，大月饼印模1个，馅料：10∼12两，咸蛋黄8个，蛋黄2个，米酒少许，转化糖浆：500公，水300公克，白醋1/2杯，小苏打粉1/4小匙
雪耳山药煲猪蹄,猪蹄（前爪），银耳，山药，胡萝卜，新鲜香菇，姜片，葱花，盐，鸡精，白胡椒粉
迷你牛角可颂,高筋面粉398公克，低筋面粉171公克，速溶酵母15公克，细砂糖46公克，盐9公克，冰水273㏄，奶粉23公克，全蛋57公克，奶油28公克，裹入油263公克，装饰：少许
春笋红烧肉,五花肉300克春笋500克郫县豆瓣1汤匙酒1茶匙老抽2汤匙生抽1汤匙盐1茶匙糖少许姜三片花椒7.8粒小茴香少许
南瓜丝鸡蛋饼,南瓜、鸡蛋、面粉、盐、胡椒粉、油
金勾抄手,主料：1，肉末二两；海米（金勾一大匙）切碎。2，抄手皮三两。3，葱一棵切碎。4，酱油，香油，味精，盐，花椒油，油酥辣椒适量。
山药核桃猪骨汤,猪骨，山药，核桃，枸杞，小茴香，生姜片，山西老陈醋，食盐
小炒包生菜,包生菜300g腊肠1根干红辣椒若干蒜2瓣酱油、盐、香油、香醋
蓝莓慕斯蛋糕,鸡蛋2个，淡奶油200克，酸奶150克，吉利丁2片（每片5克），蓝莓20克，黄油（植物油）24克，低粉48克，蓝莓汁45克，蓝莓味QQ糖38克，蓝莓果酱30克，柠檬汁（白醋）5滴，盐1克，细砂糖48克
不用烤箱做的柠檬芝士蛋糕,淡奶油250克，牛奶半杯，黄油一小块，糖粉40克，奶油芝士85克，全麦消化饼一盒，柠檬汁1/4个，香草粉少许，糖豆装饰用
【蜜烤鸡腿】,鸡腿2只，调料汁适量
三杯猪肚,猪肚1个，辣椒1条，葱1/2支，蒜头6粒，九层塔15公克，麻油2大匙，卤猪肚材料：2支，水1500cc，姜8片，米酒1/2杯，肉类用三杯酱汁2茶匙
担担面,银丝面，肉末，豌豆尖，辣椒油，花椒面，盐，味精，酱油，蒜泥，葱花，麻油，芽菜末
义大利奶油鸡肉面,鸡肉50公克，芦笋1根，红甜椒20公克，黄甜椒20公克，义大利面180公克，盐1大匙，橄榄油2大匙，蒜末1大匙，洋葱末2大匙，义大利奶油酱汁适量，帕米森起司粉1大匙
雪冬肉丝,雪菜、冬笋为安徽常见的绿色植物。雪冬肉丝也是一款安徽的家常炒菜。成菜色泽悦目，雪菜鲜、冬笋脆、肉丝嫩，是一款深受公众欢迎的热点菜肴。主料猪瘦肉辅料雪菜 冬笋调料精盐 味精 白糖 蒜茸 葱花 嫩肉粉 淀粉 色拉油
虾球鸭掌,主料：鸭掌2500克，辅料：火腿肠5克，虾仁150克，小白菜5克，鸡蛋清50克，干香菇2克，调料：味精1克，料酒25克，豌豆淀粉30克，盐5克，猪油25克
照烧肉丸,CostcoTeriyakimeatball红烧丸子一袋，小黄瓜2根
香烤沙丁鱼,沙丁鱼10条，酱油15ml，盐5g，花椒面5g，姜末5g，料酒10ml，糖5g，辣椒面10g
韭菜炒皮蛋,皮蛋1个，韭菜花1把，干豆豉1大匙，猪绞肉1/2碗，酒1大匙，辣椒1支
椰香咖哩鸡腿饭,咖哩块两块，椰浆一小碗，鸡腿两个两人份，米饭，洋葱半个，大土豆一个，黄油约两块，盐适量
啤酒鸡翅,鸡翅中8个，啤酒1罐、姜、葱、红椒、盐、老抽
干煸辣子鸡,三黄鸡，小米辣，干辣椒段，青花椒，生抽，大蒜，姜，盐，白糖，白芝麻，料酒
炖蜂蜜生姜鸡腿,蔬菜油1汤匙，无骨去皮鸡腿10只，蜂蜜175克，生抽175毫升，番茄酱3汤匙，蒜头2个，压碎，新鲜生姜1汤匙，捣碎，罐装菠萝1罐435克，沥干，保留菠萝汁，玉米粉2汤匙，水4汤匙
芒果牛奶——防止皮肤干燥,用量提示：4个人的用量芒果1个（这个芒果1个差不多1斤），纯牛奶2包*250ml，柠檬香蜂草适量（装饰用）
霉菜扣肉,五花肉盐香料水：葱姜，大料，花椒，香叶，草果酱油梅干菜
腊味油鸭饭,白米155公克，广式腊鸭腿1只，姜丝适量，青菜少许，水240公克，油1小匙，调味酱油1小匙
意大利千层面,材料：意大利甜香肠1磅(1poundsweetItaliansausage)瘦牛肉馅¾磅(3/4poundleangroundbeef)切碎的洋葱半杯(1/2cupmincedonion)蒜2瓣，用压蒜器压碎(2clovesgarlic，crushed)碎番茄罐头1大罐（28盎司）(1(28ounce)cancrushedtomatoes)番茄膏罐头2小罐（共12盎司）(2(6ounce)canstomatopaste)番茄酱罐头2小罐（共13盎司）(2(6.5ounce)canscannedtomatosauce)水半杯(1/2cupwater)（可用红酒）白糖2大勺(2tablespoonswhitesugar)干罗勒叶1小勺半(11/2teaspoonsdriedbasilleaves)小茴香1/2小勺（1/2teaspoonfennelseeds）意大利腌料１小勺（1teaspoonItalianseasoning）盐１小勺（1tablespoonsalt）黑胡椒粉1/4小勺（1/4teaspoongroundblackpepper）意大利香芹４大勺，切碎（4tablespoonschoppedfreshparsley）意大利千层面１２片（12lasagnanoodles）意大利ricotta奶酪１磅（16ouncesricottacheese）鸡蛋１个（1egg）盐1/2小勺（1/2　teaspoonsalt）(我家吃的比较淡，这半勺盐我省略了）Mozzarella奶酪3/4磅，切片（3/4poundmozzarellacheese，sliced）Parmesan奶酪碎¾磅(3/4cupgratedParmesancheese)部分材料图片：肉类番茄罐头3种奶酪3种调料千层面意大利香芹
鲑鱼沙拉,主料：鲑鱼20克，辅料：马铃薯1/2个，苹果1/5个
鸡蛋汤,调好味的鸡汤950毫升，冷冻豌豆75克，鸡蛋1个，打散
香辣牛肉酱,新鲜红辣椒200克，纯瘦牛肉500克，花生100克，核桃100克，杏仁100克，芝麻100克，郫县豆瓣100克，永川豆豉50克，干黄酱100克，十三香20克，葱若干，姜若干，蒜末若干，料酒适量，糖适量，清油500克
墨西哥咖啡—日出,雀巢100%醇咖啡，雀巢淡奶油，鸡蛋黄
香香的牛奶冻,牛奶，1包棉花糖（袋装，各大超市均有销售），水果（种类不限，看个人喜爱）
炒猪心,主料：猪心150克，青椒100克，熟猪油250克（实耗70克），白糖5克，细盐1克，香油5克，酱油10克，味精1克，黄酒5克，湿淀粉15克。
香芹鸡肉快艇三明治,蒜茸法式面包12厘米左右长的1段，鸡胸肉半块，香芹30克，生菜叶1片，西红柿片2片，水煮蛋1个，黄油少许，沙拉酱适量，盐、白胡椒粉各少许
在家DIY挑战KFC——新奥尔良烤翅,鸡翅中12个490克，烤肉料35克，水35克，橄榄油1大匙，蜂蜜1大匙
皮蛋煮苋菜,猪油，蒜片，皮蛋，苋菜2把，盐，鸡精少许
蒜香椒盐排骨,排骨300G，姜，料酒，蒜，万用炸粉，椒盐，油，麻油，葱，盐，鸡精
尖椒豆干炒腊肠,湖南尖椒，自制卤豆干，自制腊肠，小米椒，蒜，盐，鸡精
佛卡夏(focaccia)蘑菇芦笋三明治,佛卡夏饼1片，2种蘑菇适量，芦笋3根，小玉米笋2个，橄榄油适量，盐适量，意大利香肠2根
不能再“白痴”的汤了----简约版大酱汤,豆腐半块西葫芦1根土豆1个金针菇1小把尖椒1根五花肉50克淘米水750ml调料：大酱3汤匙（45克）辣酱2汤匙（30克）蒜泥1汤匙（15克）盐1/2茶匙（3克）
ＢＢＱ香烤鸡翼（鸡翅膀）,（Ａ）。鸡翼（鸡翅膀）　　　５０支＋五香粉　　　　　　　１茶匙（Ｂ）。蒜米　　　　　　　　２颗（大小２０瓣）老姜　　　　　　　　１０片小洋葱　　　　　　　１０粒盐　　　　　　　　　１汤匙糖　　　　　　　　　１汤匙胡椒粉　　　　　　　１茶匙食水　　　　　　　　　半杯
香酥猪排,主料：猪大里脊500g、鸡蛋3个、面粉、面包糠辅料：盐1.5小勺、糖4小勺、胡椒粉1小勺、料酒8小勺、非转基因大豆油
黄焖鸡,三黄鸡半只，木耳，笋干，香菇，李锦记特级头抽，老抽，蚝油，料酒，五香粉，啤酒，干辣椒，姜，蒜苗
酸菜粉,酸菜一包，五花肉一块，花椒几粒，干辣椒几个，粉丝一把，姜丝一撮
什锦寿丝饭（6人份）,日本珍珠米3杯，水适量，寿司醋(日本米醋)半杯，糖1汤匙，盐少许，随意：紫菜，青瓜，蟹仔，三文鱼刺身等
咸蛋糕,全蛋250公克，二砂糖200公克，乳化剂12公克，低筋面粉250公克，发粉2公克，盐2公克，奶水100公克，橄榄油20公克，肉燥馅200公克
糯米卷,皮用料250克，面粉250克，酵母粉4克，水90克，泡打粉1小匙，猪油0.5大匙，糯米适量，花生，蒜蓉，虾皮，干葱蓉，下米饭，红萝卜末，糖，酱油，盐
姜葱蒸带鱼,带鱼1斤，姜适量，葱适量，蒜适量，生抽适量
番茄焖牛肉,主料：番茄250克，牛肉200克，调料：植物油20克，甜面酱15克，酱油3克，白砂糖4克，料酒10克，玉米淀粉5克，八角1克，大葱2克，姜2克
素腊味煲仔饭,素腊肠，香米80g，红糙米40g，海带扣，西兰花，速冻玉米，速冻甜豌豆，水145g，生抽1勺，蚝油1勺，老抽一点，糖一点
五指毛桃煲猪骨,五指毛桃100g，猪骨2块，鸡腿1个，枸杞20g，蜜枣2颗，盐少许
牛奶南瓜羹,纯牛奶，南瓜
葱花蛋饼,中筋面粉600公克，细盐5公克，细砂糖30公克，70℃温水380㏄，葱花200公克，猪油80公克，细盐10公克，鸡蛋10颗
鱼卵黄瓜泡菜,飞鱼卵1杯，小黄瓜2条，盐1/2大匙
牛奶炖蛋,小笨鸡蛋两个，牛奶一袋200毫升，蜜豆，白糖一茶匙
芥菜排骨饭,芥菜500g，大米3盒，排骨200G，墨鱼丸子若干，酱油料酒适量，盐适量，糖适量（提鲜）
养生枸杞土司,中种面糰：120㏄，高筋面粉200公克，速溶酵母3公克，主面糰：12公克，水30㏄，黑麦预拌粉50公克，盐3公克，黑糖25公克，蜂蜜12公克，奶粉8公克，其他材料：少许，兰姆酒少许，南瓜子25公克，枸杞40公克，桂圆25公克
卤水鸡胗,鸡胗，花椒，八角，香叶，桂皮，小茴香，生抽，老抽适量，糖
青椒炒三文鱼片,青椒200克，挪威三文鱼100克，香菇1个，葱10克，姜10克，白糖1茶匙5克，生抽1汤匙15ml，香油1茶匙5ml
喜洋洋之夹心丸子,鹌鹑蛋15个，猪肉馅500g，马蹄7-8颗，生抽2茶匙，料酒1茶匙，白糖1茶匙，葱姜末少许，芝麻若干
苹果优酪沙拉酱,番茄酱2汤匙，鲜奶油1汤匙，苹果优酪乳3汤匙，美乃滋2汤匙
缤纷酸奶水果沙拉,梨，萍果，芒果，圣女果，香瓜，黄瓜，西瓜（最后没放汁太多）
红枣鲫鱼木瓜汤,鲫鱼，木瓜，红枣，盐，姜，葱
三丝猪肉,芽菜250克，萝卜1根，豆腐干150克，猪肉150克，蒜末适量，盐适量，生粉适量，料酒适量，生抽适量，生油适量，蚝油适量，干贝汁适量
免烤冻芝士蛋糕,消化饼（碾碎）200g，无盐面包油100g奶油奶酪250g（creamcheese），淡奶油200g（whippingcream），幼糖40g，牛奶50g，柠檬半个（榨汁），明胶粉8g，8寸活底模1个
破布籽鱼头,鲢鱼头1/2个，姜末10公克，葱花15公克，破布籽5大匙，细糖1/4茶匙，米酒1茶匙，香油1/4茶匙
酱爆鱼片,鱼，盐，鸡精，料酒，胡椒粉，淀粉，鸡蛋清一个，郫县豆瓣酱一小勺，生抽少许，蒜末少许，白糖，青椒块，白芝麻
韭菜虾皮炒肉末,半肥瘦猪肉，虾皮，韭菜，盐适量，生粉适量，糖适量，生抽适量，麻油适量
卤猪皮,猪皮1张，葱2根，姜片3片，八角1个，酱油100㏄，绍兴酒30㏄，水500㏄，香菇肉燥卤汁500㏄
牛肉炒乌冬面,黄牛肉一小块，番茄半只，乌冬面，青瓜半根，红葱头，生抽，蚝油，鲍汁，芝麻油，老抽
麻辣香肠,烤熟香肠1条，蒜苗末适量，酱料Ａ：1大匙，太白粉1大匙，酱油膏5大匙，蚝油2大匙，糖2大匙，海山酱2大匙，水360㏄，鸡粉1/2小匙，材料Ｂ：1/2小匙，辣椒粉1/2小匙
香辣干锅鸡（渝菜）,主料：土公鸡一只，花生米，干辣椒(朝天椒)调料：白糖、姜片、蒜粒、三萘、八角、胡椒粒、花椒粒、干辣椒断、豆瓣酱、香叶、香果、陈皮、老抽、味精、川盐、小葱
石耳炖鸡,主料：净母鸡1只（约重1000克），石耳50克，小葱15克，姜15克，火腿骨5克，精盐5克，绍酒15克，熟猪油25克。
荷包鲫鱼,鲫鱼两条，瘦肉（用五花肉更好）三两，葱，盐，酱油，姜，料酒，清汤300毫升，酱油，味精，精盐，白糖，香菜
萝卜丝鸡蛋饼,白萝卜，胡萝卜，中精面粉盐，鸡蛋，葱，橄榄油
莴笋排骨煲,排骨250克，莴笋
黄瓜色拉,黄瓜1根，红洋葱90克，胡萝卜1根，果醋30ml，酸奶油（SourCream）120ml，新鲜小茴香叶（FreshDill）4支，柠檬半只，粗盐（Seasalt）和黑胡椒粉各少许
盐烧三文鱼,大三文鱼头1只（约700g），大粒盐（日晒盐）2茶匙（10g），浓香型白酒1汤匙（15ml），油1汤匙（15ml）
酸辣鱼皮,鱼皮300公克，高丽菜60公克，竹笋50公克，胡萝卜15公克，红辣椒2根，葱2根，姜10公克，A.盐1/6茶匙，米酒1茶匙，鲜鸡粉1/6茶匙，细糖1茶匙，乌醋1大匙，水50㏄，B.太白粉水1茶匙，香油1茶匙
鸡蓉玉米汤,玉米酱1罐，洋葱1/4个，鸡肉50公克，奶油30公克，白汤600㏄，鲜奶油50㏄，鲜奶100㏄，面煳2大匙，盐1茶匙，糖1/4茶匙
肉松蛋卷,中筋粉60克鸡蛋2个胡椒粉半克肉松60克黄芥末酱15克水适量橄榄油适量盐适量
玉米胡萝卜排骨汤,排骨、玉米、胡萝卜、料酒、盐
培根夹面包,培根二片，面包四片，早餐奶酪二个
鸭母捻,主料：泰国糯米馅料：绿豆，红豆，芋泥或芝麻糖
粉蒸白鳝,主料：鳝鱼1000克，辅料：籼米粉（干，细）100克，肥膘肉100克，调料：猪油50克，料酒50克，盐10克，味精2克，腐乳汁25克，白砂糖5克，醋50克，大葱25克，姜25克，香油25克，辣椒油50克
奶酪小酥饼,面粉：200克，奶油奶酪：120克，糖：60克，黄油：60克，牛奶：60克，泡打粉：1小匙半（5ml的小匙）
肉末烘蛋,主料：鸡蛋150克，肥瘦猪肉50克，调料：玉米淀粉4克，味精5克，盐8克，大葱10克，花生油15克
上汤羽衣甘蓝菜,羽衣甘蓝，野生菌，皮蛋，大蒜，红椒，盐，料酒，蚝油，胡椒粉，鸡精，水淀粉，糖，醋
土豆烧鸡腿,主料：1.冻鸡腿。菜市场上能买到，一般三块多一斤，买回后切成小块，也可以找卖的人帮你切，洗净。这种鸡腿跟肯德鸡麦当劳的那种鸡腿不一样哈，是带着鸡大腿根部的一大块，小一点的一般都有一斤左右。2.土豆。去皮后切成小块。注意不要切得太大，很久煮不熟不说，还不易入味，一般1.5cm－2cm的立方体大小就可以了。　　3.老姜片，酱油或郫县豆瓣，盐，油少许。注意酱油用一般的酱油就可以了，比如两块多的那种淘大的酱油就很好，什么生抽啊，老抽的，效果反倒没这么好。但是记住放酱油就别放豆瓣，放豆瓣就别放酱油，二选一。
气泡鱼头,鳙鱼头1000克，芹菜100克，京葱50克。调料生抽10克，老抽5克，豆瓣酱25克，甜面酱15克，蚝油10克，泡椒节10克，鸡粉3克，味精3克，料酒25克，花椒油20克，复合油30克，锡纸1张，胡椒粉2克。
“金包银”鱼露炒饭,剩米饭，腊肠1根，葱1节，黄瓜1根，蛋2只，鱼露3汤勺
马铃薯焖肉碎,主料：马铃薯，肉碎，葱头酥，葱头油，水，青葱调料：酱油，盐腌肉调料：酱油，麻油，胡椒粉，粟粉
酱蒸排骨,排骨，红椒，蒜瓣，香油，生粉，生抽，黄豆酱，料酒，蒜蓉酱，香菜
三文治便当,切片土司面包，鸡蛋，火腿片，生菜，黄油
菠萝炒鸭胗,菠萝鸭胗姜韭菜花
菠萝牛肉,TOPLOIN牛肉，菠萝，酱油，蚝油，料酒，沙拉油，白胡椒粉，生粉
草莓轻芝士蛋糕,奶油奶酪100克，低粉60克，黄油50克，糖100克，蛋4个，牛奶100克，玉米淀粉30克，白醋几滴
绿茶麻花粥,泰国香米半碗，绿茶（碧螺春）适量，猪瘦肉50g，小麻花2根，盐1茶匙5g，香葱末1茶匙5g
丝瓜蛤蜊鸡蛋面,丝瓜，蛤蜊，鸡蛋，面条，香油，美极鲜，盐
油爆双脆,油爆双脆，又称油爆双鲜。成菜色鲜味香，胗红肚白，脆中带嫩，鲜香可口。香鲜脆嫩是此菜的重要特色。主料鲜鸭胗鲜猪肚尖调料精盐 味精嫩肉粉料酒 白醋 葱姜汁蒜茸 胡椒粉 淀粉色拉油
孜然烤魚排,去骨龍利魚1片，蒜2瓣，料酒2.5匙，橄欖油一點點，孜然粉適量，鹽適量
鱼子酱烧豆腐,毛豆腐250g，食盐2g，葱5g，姜5g，调和油10g，鱼子酱20g
家常炒之洋葱牛肉,洋葱一个，牛肉，黄油，蚝油，糖，盐，生抽，老抽，料酒，生粉，鸡粉
肉丝炒面,面条（生）120克，猪肉50克，小白菜50克，大白菜50克，鸡蛋1个，葱5克，姜5克，生抽25克，植物油30克
花椒醉鸡,鸡腿2只，绍兴酒2碗（500ml），花椒1汤匙（15g），盐2汤匙（30g），老姜4片，香菜段1茶匙（5g）
家常红烧排骨,排骨2斤（1000克） 干香菇4朵  八角（大料）2颗  桂皮1根  香叶1片 青葱4根  姜一块 料酒1汤匙（15ml） 生抽2汤匙（30ml）老抽2汤匙（30ml） 白糖1茶匙（5克） 盐1/2茶匙（3克）
肉松面包卷,面包面团：高筋粉160克，低筋粉60克，细砂糖30克，盐3克，干酵母4克，水100克，鸡蛋25克，奶粉9克，黄油20克。
小山进纽约芝士蛋糕,牛奶175g，黄油50g，蛋黄4个（约70g），细砂糖30g，玉米淀粉13g，奶油芝士250g，蛋白55g，细砂糖30g
中式煎猪排,猪里脊肉（猪柳）或猪排480克，菜油3汤匙，洋葱1／2个，糖醋汁2汤匙，腌料：，盐3／4茶匙，糖3／4茶匙，乳蛋粉（吉士粉）1汤匙，太白粉（生粉）1汤匙，肉类软化剂（松肉粉）1／2茶匙，英国辣酱油（乌斯特香醋）11／4汤匙，鸡蛋1／2个
啤酒焖酥鱼,草鱼500克，青、红椒各1个，啤酒1罐，姜，蒜，葱，胡椒粉，盐，蒸鱼豉油
鲍鱼米线温州粉干,用料主料：网鲍125克配料：温州粉干50克  烧料：母鸡、金华火腿、猪排骨、干贝 调料：精盐、绍酒、胡椒粉、酱油、冰糖、蚝油、葱、姜
鲫鱼过河,主料：鲫鱼一尾约750克。辅料：清汤，肥肉片，葱段，姜片，冬菇，花椒，大料，食盐，料酒，味精，鸡油各适量。
教你簡單包個冰皮月餅,冰皮材料：1)糯米粉50G2)粘米粉50G3)麵粉25G4)糖50G5)椰汁250G(我用鮮奶)6)生油4湯匙(我用牛油1OZ)7)煉奶3湯匙(有鮮奶我不加)奶皇餡：1)1安士麵粉2)2安士吉士粉3)1安士粟粉4)4安士糖5)2隻蛋6)15安士奶7)1安士牛油
橄榄瘦肉炖螺头汤,暑热未去，秋意渐起，近来的气候大概可用这八个字来形容，炎热干燥烤验着大家的皮肤和喉咙，多喝汤水是滋润良方。青橄榄一直以来是清热解毒、利咽治喉、祛痰开胃的良药，而橄榄与肉类炖汤还有舒筋活络的功效。2-3人份干海螺头：80克青橄榄：150克瘦肉：150克姜：3片水：5碗
肉皮冻——养颜美味,肉皮400g，姜2片，蒜碎适量，黄酒15ml，水1L，生抽适量，醋适量，香油少许
清蒸鲈鱼孔雀形,鲈鱼，料酒，盐，葱，姜，剁椒
菠菜洋葱牛奶羹,菠菜50g，白洋葱10g，牛奶20g
鸡蛋薄荷鸡尾酒,波士鸡蛋力娇酒40ml，薄荷糖浆20ml，柠檬汁10ml，冰块1杯
烤鸡胸配他拉根汁,材料鸡胸肉、各式蔬菜、新鲜他拉根、洋葱末、白酒、鸡汤、黄油、盐、胡椒
夹心土司卷,土司片、鸡蛋、火腿、米饭、腐乳、番茄酱、芝麻
干煸麻辣蒜香五花肉土豆,五花肉土豆大蒜红辣椒姜蒜片麻椒碎糊辣面盐生抽高汤鸡粉糖
自制牛轧糖,原料：棉花糖20颗、烤熟的花生适量（我的用微波炉烤的，一不注意就糊了）、奶粉适量。
胡萝卜咸菜炒鸡蛋,胡萝卜1棵(切丝)、咸疙瘩菜(切丝)、辣尖椒2个（切丝）、鸡蛋2个，葱、蒜少量，生抽、味精、五香粉各适量
蒜蓉姜汁炖鸡腿,鸡腿(drumstick)9个，洋葱1个；，姜10g；桂圆6个，蒜蓉辣酱（“饭扫光”牌）3盎司，GingleAle(姜味汽水)2听，淀粉15mL，料酒6盎司
蜜芝火腿鱼片,火腿片100g，芝士片5片，鲷鱼肉100g，白胡椒粉1/2茶匙3g，水淀粉2茶匙10ml，料酒1茶匙5ml，盐2g，蜂蜜适量，橄榄油适量
串烧鳗鱼,主料：鳗鱼肉120g，圆葱30g，酸黄瓜角1个，煮胡萝卜条15g，炸土豆20g调料：盐2g，胡椒粉0.4g，橄榄油20g，白醋1g
蒸肠旺,熟肥肠1条，猪血500公克，酸菜100公克，姜5公克，辣椒酱1大匙，豆瓣酱1茶匙，蚝油1茶匙，沙茶酱1茶匙，细糖1茶匙，太白粉1茶匙，香油1大匙
空心粉海鲜沙拉,材料空心粉适量，罐头沙丁鱼100克，虾50克，菠菜150克调味料蛋黄酱100克，盐、胡椒粉各少许
香辣鸡肉炒西兰花,西兰花275克，橄榄油1汤匙，无骨去皮鸡胸肉2块-切成条，香葱半把，切成片，蒜头4个，切成细片，海鲜酱1汤匙，辣椒酱1汤匙，生抽1汤匙，生姜粉半茶匙，碎干辣椒1/4茶匙，盐半茶匙，白胡椒半茶匙，蒜头4个，切成细片，鸡汤4汤匙
黑椒牛柳,牛里脊肉200克，洋葱1个，青椒1个。黑胡椒粉，蚝油，料酒，水淀粉，盐，白糖，鸡精各适量。
香蕉鹅肝卷,鹅肝酱300克，香蕉200克，芝士片50克，糯米纸20张，面包糠50克，鸡蛋3个，生粉、色拉油各适量
五香味鸭蛋,鸭蛋、花椒、五香八角、大蒜子、生姜、精盐
百花大虾面,精粉500克，清水200克，大虾200克。辅料银芽、芦笋、绿椒、木耳、红椒、生菜、金华火腿各50克。调料精盐、竹叶青酒、味精、高级鸡精、胡椒粉、生抽、葱花、姜末、蒜片、香油、花生油各适量。
凉拌手撕鸡,鸡胸肉，大料，姜，糖，盐，味精，芝麻，熟花生，香菜，蒜，葱，辣椒油
黑椒培根蘑菇意大利面,意大利面（一元硬币粗细是2人份的量）；蘑菇（最好是口蘑，我家里当时只有杏鲍菇）；蒜（2瓣），黄油，牛奶，橄榄油，培根（我用的牛肉代替），黑胡椒粉
黑椒蜜汁烤猪排,黑胡椒适量，蜂蜜适量，烧烤酱适量，嫩肉粉适量，橄榄油适量，红酒适量
红烧面筋,面筋泡150g，胡萝卜50g，鲜青豆2汤匙（30g），鲜小香菇5朵，葱末2茶匙（10g），酱油2茶匙（10ml），白砂糖1茶匙（5g），香油1茶匙（5ml），油2茶匙（10ml）
西红柿情节－－西红柿鲫鱼汤,鲫鱼，西红柿
